ID                                    0x6ded
Delivery_person_ID             MUMRES19DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.141140
Delivery_location_longitude        72.823074
Order_Date                        01-04-2022
Time_Orderd                             9:50
Time_Order_picked                       9:60
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   25.000000
Name: 18800, dtype: object
