ID                                       0xd8e1
Delivery_person_ID               AURGRES17DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.876994
Restaurant_longitude                  75.372353
Delivery_location_latitude            19.986994
Delivery_location_longitude           75.482353
Order_Date                           18-02-2022
Time_Orderd                               22:25
Time_Order_picked                         22:30
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 24216, dtype: object
