ID                                       0x2cb9
Delivery_person_ID             RANCHIRES04DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.359033
Restaurant_longitude                  85.325347
Delivery_location_latitude            23.489033
Delivery_location_longitude           85.455347
Order_Date                           14-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:55
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 41926, dtype: object
