ID                                    0xd8c8
Delivery_person_ID             KNPRES07DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                26.472001
Restaurant_longitude               80.354002
Delivery_location_latitude         26.582001
Delivery_location_longitude        80.464002
Order_Date                        16-02-2022
Time_Orderd                            21:55
Time_Order_picked                      22:10
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 27682, dtype: object
