ID                                    0x5b7c
Delivery_person_ID             HYDRES04DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                17.411028
Restaurant_longitude               78.329645
Delivery_location_latitude         17.451028
Delivery_location_longitude        78.369645
Order_Date                        26-03-2022
Time_Orderd                            15:35
Time_Order_picked                      15:45
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 42623, dtype: object
