ID                                     0xb9a8
Delivery_person_ID             SURRES010DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              3.700000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.281060
Delivery_location_longitude         72.899292
Order_Date                         06-04-2022
Time_Orderd                             23:35
Time_Order_picked                       23:45
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 20521, dtype: object
