ID                                    0x8cfc
Delivery_person_ID             HYDRES16DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                17.440827
Restaurant_longitude               78.393391
Delivery_location_latitude         17.450827
Delivery_location_longitude        78.403391
Order_Date                        01-03-2022
Time_Orderd                             8:30
Time_Order_picked                       8:45
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   22.000000
Name: 30381, dtype: object
