ID                                    0xc0eb
Delivery_person_ID             DEHRES20DEL01
Delivery_person_Age                    25.00
Delivery_person_Ratings                 4.80
Restaurant_latitude                    -0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        11-02-2022
Time_Orderd                            15:50
Time_Order_picked                      15:55
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       10.00
Name: 21406, dtype: object
