ID                                       0xbd37
Delivery_person_ID             RANCHIRES17DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.404878
Delivery_location_longitude           85.365739
Order_Date                           11-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      54.000000
Name: 28528, dtype: object
