ID                                      0x3e7b
Delivery_person_ID             COIMBRES03DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.155083
Delivery_location_longitude          77.145393
Order_Date                          02-03-2022
Time_Orderd                              19:35
Time_Order_picked                        19:50
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 39832, dtype: object
