ID                                         0xda7
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    20.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            03-03-2022
Time_Orderd                                19:30
Time_Order_picked                          19:45
Weather conditions                        Stormy
Road_traffic_density                         Jam
Vehicle_condition                              0
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       29.000000
Name: 1994, dtype: object
