ID                                      0x4fc
Delivery_person_ID             CHENRES09DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -13.044694
Restaurant_longitude               -80.261470
Delivery_location_latitude          13.174694
Delivery_location_longitude         80.391470
Order_Date                         29-03-2022
Time_Orderd                               NaN
Time_Order_picked                       22:60
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    15.000000
Name: 41370, dtype: object
