ID                                        0x14ee
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    26.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.374422
Delivery_location_longitude            85.352900
Order_Date                            05-03-2022
Time_Orderd                                10:60
Time_Order_picked                          11:05
Weather conditions                        Cloudy
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                                         NaN
Time_taken (min)                       20.000000
Name: 42902, dtype: object
