ID                                       0x48bf
Delivery_person_ID               CHENRES13DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.027018
Restaurant_longitude                  80.254791
Delivery_location_latitude            13.097018
Delivery_location_longitude           80.324791
Order_Date                           02-04-2022
Time_Orderd                               20:25
Time_Order_picked                         20:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                    Yes
City                                      Urban
Time_taken (min)                      41.000000
Name: 12278, dtype: object
