ID                                       0xdbe1
Delivery_person_ID                BHPRES11DEL01
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   23.233219
Restaurant_longitude                  77.433571
Delivery_location_latitude            23.243219
Delivery_location_longitude           77.443571
Order_Date                           17-02-2022
Time_Orderd                               11:30
Time_Order_picked                         11:45
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      36.000000
Name: 2185, dtype: object
