ID                                      0x62bd
Delivery_person_ID             CHENRES010DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.146762
Delivery_location_longitude          80.331865
Order_Date                          25-03-2022
Time_Orderd                              18:60
Time_Order_picked                        19:15
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 37884, dtype: object
