ID                                     0xa3af
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  33.00000
Delivery_person_Ratings               4.30000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.61408
Delivery_location_longitude          73.97852
Order_Date                         27-03-2022
Time_Orderd                             19:50
Time_Order_picked                       19:60
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                   3.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     46.00000
Name: 12985, dtype: object
