ID                                      0xbbb
Delivery_person_ID             BANGRES09DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.934179
Restaurant_longitude                77.615797
Delivery_location_latitude          12.974179
Delivery_location_longitude         77.655797
Order_Date                         11-03-2022
Time_Orderd                               NaN
Time_Order_picked                       13:10
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    48.000000
Name: 25234, dtype: object
