ID                                         0xee9
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    34.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.464422
Delivery_location_longitude            85.442900
Order_Date                            02-04-2022
Time_Orderd                                23:50
Time_Order_picked                          23:55
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                              Snack
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       19.000000
Name: 1581, dtype: object
