ID                                     0xc5a
Delivery_person_ID             MYSRES04DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                12.308500
Restaurant_longitude               76.665808
Delivery_location_latitude         12.418500
Delivery_location_longitude        76.775808
Order_Date                        02-04-2022
Time_Orderd                            20:25
Time_Order_picked                      20:30
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 19162, dtype: object
