ID                                     0xadec
Delivery_person_ID             INDORES12DEL01
Delivery_person_Age                  38.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.75806
Delivery_location_longitude          75.90340
Order_Date                         01-04-2022
Time_Orderd                             10:45
Time_Order_picked                       10:50
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                   0.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     26.00000
Name: 5984, dtype: object
