ID                                       0xcd9b
Delivery_person_ID                BHPRES18DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.234631
Restaurant_longitude                  77.401663
Delivery_location_latitude            23.274631
Delivery_location_longitude           77.441663
Order_Date                           15-02-2022
Time_Orderd                               15:10
Time_Order_picked                         15:25
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 502, dtype: object
