ID                                    0xdfe4
Delivery_person_ID             ALHRES15DEL03
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                25.449872
Restaurant_longitude               81.836167
Delivery_location_latitude         25.539872
Delivery_location_longitude        81.926167
Order_Date                        16-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:45
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   47.000000
Name: 35602, dtype: object
