ID                                       0x43ed
Delivery_person_ID                MYSRES06DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.323994
Restaurant_longitude                  76.626167
Delivery_location_latitude            12.383994
Delivery_location_longitude           76.686167
Order_Date                           07-03-2022
Time_Orderd                               18:10
Time_Order_picked                         18:25
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 44420, dtype: object
