ID                                    0xc0aa
Delivery_person_ID             KNPRES04DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude               -26.471529
Restaurant_longitude               80.313458
Delivery_location_latitude         26.511529
Delivery_location_longitude        80.353458
Order_Date                        17-02-2022
Time_Orderd                            16:25
Time_Order_picked                      16:35
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 4978, dtype: object
