ID                                       0xb1de
Delivery_person_ID             RANCHIRES04DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.359033
Restaurant_longitude                  85.325347
Delivery_location_latitude            23.439033
Delivery_location_longitude           85.405347
Order_Date                           29-03-2022
Time_Orderd                               22:40
Time_Order_picked                         22:50
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 21642, dtype: object
