ID                                      0x2ff9
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.150910
Delivery_location_longitude          77.070432
Order_Date                          04-04-2022
Time_Orderd                              20:50
Time_Order_picked                        20:60
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 526, dtype: object
