ID                                     0xba0b
Delivery_person_ID             PUNERES14DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.516216
Restaurant_longitude                73.842527
Delivery_location_latitude          18.556216
Delivery_location_longitude         73.882527
Order_Date                         01-03-2022
Time_Orderd                             16:60
Time_Order_picked                       17:05
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 17999, dtype: object
