ID                                     0x22cc
Delivery_person_ID             PUNERES09DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.536562
Restaurant_longitude                73.896485
Delivery_location_latitude          18.666562
Delivery_location_longitude         74.026485
Order_Date                         31-03-2022
Time_Orderd                             21:25
Time_Order_picked                       21:35
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 6543, dtype: object
