ID                                     0x5a2b
Delivery_person_ID             INDORES11DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 22.751234
Restaurant_longitude                75.889490
Delivery_location_latitude          22.761234
Delivery_location_longitude         75.899490
Order_Date                         30-03-2022
Time_Orderd                              9:15
Time_Order_picked                        9:25
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    15.000000
Name: 651, dtype: object
