ID                                     0xcc89
Delivery_person_ID             LUDHRES02DEL02
Delivery_person_Age                     20.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.08
Delivery_location_longitude              0.08
Order_Date                         18-02-2022
Time_Orderd                             18:45
Time_Order_picked                       18:50
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        18.00
Name: 23455, dtype: object
