ID                                       0x4a8e
Delivery_person_ID                VADRES03DEL02
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                       22.32
Restaurant_longitude                      73.17
Delivery_location_latitude                22.37
Delivery_location_longitude               73.22
Order_Date                           13-03-2022
Time_Orderd                               21:45
Time_Order_picked                         21:55
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          22.00
Name: 2861, dtype: object
