ID                                      0x5eb1
Delivery_person_ID             COIMBRES01DEL01
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.086298
Delivery_location_longitude          77.042076
Order_Date                          25-03-2022
Time_Orderd                              18:25
Time_Order_picked                        18:30
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 33123, dtype: object
