ID                                        0x3f4
Delivery_person_ID              COIMBRES20DEL02
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                  -10.994136
Restaurant_longitude                 -76.963303
Delivery_location_latitude            11.074136
Delivery_location_longitude           77.043303
Order_Date                           06-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      17.000000
Name: 34497, dtype: object
