ID                                       0x4acf
Delivery_person_ID              COIMBRES18DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.020910
Restaurant_longitude                  76.940432
Delivery_location_latitude            11.100910
Delivery_location_longitude           77.020432
Order_Date                           23-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:15
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 2043, dtype: object
