ID                                     0xddf6
Delivery_person_ID             AURGRES07DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.875908
Restaurant_longitude                75.358888
Delivery_location_latitude          19.915908
Delivery_location_longitude         75.398888
Order_Date                         13-02-2022
Time_Orderd                             12:35
Time_Order_picked                       12:50
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 14993, dtype: object
