ID                                       0x2be5
Delivery_person_ID                JAPRES01DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   26.905190
Restaurant_longitude                  75.810753
Delivery_location_latitude            26.945190
Delivery_location_longitude           75.850753
Order_Date                           09-03-2022
Time_Orderd                               14:45
Time_Order_picked                         14:50
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 4047, dtype: object
