ID                                       0x682d
Delivery_person_ID               BANGRES18DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.913041
Restaurant_longitude                  77.683237
Delivery_location_latitude            12.933041
Delivery_location_longitude           77.703237
Order_Date                           11-03-2022
Time_Orderd                                8:15
Time_Order_picked                          8:25
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 31409, dtype: object
