ID                                    0xe01a
Delivery_person_ID             DEHRES05DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                30.346994
Restaurant_longitude               78.062543
Delivery_location_latitude         30.386994
Delivery_location_longitude        78.102543
Order_Date                        11-02-2022
Time_Orderd                            16:60
Time_Order_picked                      17:10
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   21.000000
Name: 13074, dtype: object
