ID                                    0xdcf3
Delivery_person_ID             GOARES17DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                15.496162
Restaurant_longitude               73.825364
Delivery_location_latitude         15.586162
Delivery_location_longitude        73.915364
Order_Date                        14-02-2022
Time_Orderd                            19:15
Time_Order_picked                      19:30
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 32186, dtype: object
