ID                                    0xe03d
Delivery_person_ID             KOLRES06DEL02
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                22.533662
Restaurant_longitude               88.366217
Delivery_location_latitude         22.613662
Delivery_location_longitude        88.446217
Order_Date                        12-02-2022
Time_Orderd                            23:55
Time_Order_picked                      24:05
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 14237, dtype: object
