ID                                      0x6d7a
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.020762
Delivery_location_longitude          77.001876
Order_Date                          05-04-2022
Time_Orderd                               8:15
Time_Order_picked                         8:25
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 12884, dtype: object
