ID                                    0xddc6
Delivery_person_ID             KOLRES08DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                22.537960
Restaurant_longitude               88.349843
Delivery_location_latitude         22.577960
Delivery_location_longitude        88.389843
Order_Date                        13-02-2022
Time_Orderd                            13:55
Time_Order_picked                      14:10
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 15867, dtype: object
