ID                                     0xd5d
Delivery_person_ID             VADRES03DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.41
Delivery_location_longitude            73.26
Order_Date                        14-03-2022
Time_Orderd                              NaN
Time_Order_picked                      20:35
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     2.00
Festival                                  No
City                                   Urban
Time_taken (min)                       38.00
Name: 43869, dtype: object
