ID                                     0x42ed
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  31.00000
Delivery_person_Ratings               4.30000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.55408
Delivery_location_longitude          73.91852
Order_Date                         30-03-2022
Time_Orderd                             11:15
Time_Order_picked                       11:25
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     33.00000
Name: 7885, dtype: object
