ID                                        0x55f4
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    35.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.444422
Delivery_location_longitude            85.422900
Order_Date                            12-03-2022
Time_Orderd                                19:20
Time_Order_picked                          19:30
Weather conditions                         Sunny
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       19.000000
Name: 30374, dtype: object
