ID                                     0xba58
Delivery_person_ID             CHENRES01DEL03
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.065801
Delivery_location_longitude         80.310744
Order_Date                         01-04-2022
Time_Orderd                             22:15
Time_Order_picked                       22:20
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 1426, dtype: object
