ID                                    0x2df3
Delivery_person_ID             MYSRES09DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                12.323194
Restaurant_longitude               76.630583
Delivery_location_latitude         12.413194
Delivery_location_longitude        76.720583
Order_Date                        08-03-2022
Time_Orderd                            17:55
Time_Order_picked                      18:10
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 37188, dtype: object
