ID                                     0xaadf
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.953041
Delivery_location_longitude         77.723237
Order_Date                         28-03-2022
Time_Orderd                             13:60
Time_Order_picked                       14:10
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 22208, dtype: object
