ID                                       0xaacb
Delivery_person_ID                JAPRES15DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.891191
Restaurant_longitude                  75.802083
Delivery_location_latitude            26.951191
Delivery_location_longitude           75.862083
Order_Date                           03-03-2022
Time_Orderd                               19:40
Time_Order_picked                         19:45
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 7982, dtype: object
