ID                                       0xb72a
Delivery_person_ID                HYDRES03DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   17.422819
Restaurant_longitude                  78.449578
Delivery_location_latitude            17.462819
Delivery_location_longitude           78.489578
Order_Date                           15-03-2022
Time_Orderd                               16:50
Time_Order_picked                         16:55
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 39170, dtype: object
