ID                                     0xbf68
Delivery_person_ID             AURGRES04DEL03
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.876106
Restaurant_longitude                75.340775
Delivery_location_latitude          19.936106
Delivery_location_longitude         75.400775
Order_Date                         15-02-2022
Time_Orderd                             20:50
Time_Order_picked                       20:55
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 622, dtype: object
