ID                                     0x6aad
Delivery_person_ID             INDORES01DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.695207
Restaurant_longitude                75.866059
Delivery_location_latitude          22.725207
Delivery_location_longitude         75.896059
Order_Date                         03-03-2022
Time_Orderd                             22:30
Time_Order_picked                       22:35
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 45333, dtype: object
