ID                                    0xddec
Delivery_person_ID             ALHRES05DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                25.457687
Restaurant_longitude               81.835585
Delivery_location_latitude         25.537687
Delivery_location_longitude        81.915585
Order_Date                        12-02-2022
Time_Orderd                            17:25
Time_Order_picked                      17:35
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 32735, dtype: object
