ID                                     0xca73
Delivery_person_ID             LUDHRES03DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 30.887220
Restaurant_longitude                75.804893
Delivery_location_latitude          30.927220
Delivery_location_longitude         75.844893
Order_Date                         11-02-2022
Time_Orderd                             15:10
Time_Order_picked                       15:15
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 34701, dtype: object
