ID                                    0xd5f1
Delivery_person_ID             AGRRES20DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                27.158822
Restaurant_longitude               78.045359
Delivery_location_latitude         27.268822
Delivery_location_longitude        78.155359
Order_Date                        16-02-2022
Time_Orderd                            23:15
Time_Order_picked                      23:25
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 9015, dtype: object
