ID                                        0x1e00
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    32.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            24-03-2022
Time_Orderd                                21:45
Time_Order_picked                          21:50
Weather conditions                        Stormy
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                             Drinks
Type_of_vehicle                 electric_scooter
multiple_deliveries                     1.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       27.000000
Name: 32850, dtype: object
