ID                                     0xdeae
Delivery_person_ID             LUDHRES13DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 30.893234
Restaurant_longitude                75.821720
Delivery_location_latitude          31.023234
Delivery_location_longitude         75.951720
Order_Date                         12-02-2022
Time_Orderd                             21:35
Time_Order_picked                       21:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 14880, dtype: object
