ID                                    0xc3a7
Delivery_person_ID             KOLRES08DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                22.537960
Restaurant_longitude               88.349843
Delivery_location_latitude         22.547960
Delivery_location_longitude        88.359843
Order_Date                        13-02-2022
Time_Orderd                             9:40
Time_Order_picked                       9:50
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 31228, dtype: object
