ID                                    0xc7f1
Delivery_person_ID             KNPRES02DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.611617
Delivery_location_longitude        80.453564
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      22:20
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   17.000000
Name: 24848, dtype: object
