ID                                    0xc0db
Delivery_person_ID             GOARES04DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -15.569600
Restaurant_longitude               73.742294
Delivery_location_latitude         15.619600
Delivery_location_longitude        73.792294
Order_Date                        11-02-2022
Time_Orderd                            19:55
Time_Order_picked                      20:05
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   20.000000
Name: 33866, dtype: object
