ID                                      0x720e
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.973298
Delivery_location_longitude          77.654293
Order_Date                          30-03-2022
Time_Orderd                              12:15
Time_Order_picked                        12:25
Weather conditions                       Windy
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     11.000000
Name: 18466, dtype: object
