ID                                    0x4cc0
Delivery_person_ID             SURRES18DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                21.149834
Restaurant_longitude               72.778666
Delivery_location_latitude         21.159834
Delivery_location_longitude        72.788666
Order_Date                        19-03-2022
Time_Orderd                            10:35
Time_Order_picked                      10:40
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   28.000000
Name: 23196, dtype: object
