ID                                    0xb8f0
Delivery_person_ID             HYDRES01DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                17.410371
Restaurant_longitude               78.437225
Delivery_location_latitude         17.490371
Delivery_location_longitude        78.517225
Order_Date                        04-03-2022
Time_Orderd                            19:45
Time_Order_picked                      19:50
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 17894, dtype: object
